iter	Passed	Remaining
430	1618	2136
431	1620	2130
432	1622	2124
433	1624	2118
434	1626	2112
435	1627	2105
436	1629	2099
437	1633	2095
438	1635	2090
439	1637	2084
440	1639	2078
441	1641	2072
442	1643	2065
443	1645	2060
444	1647	2055
445	1649	2049
446	1651	2043
447	1654	2038
448	1657	2034
449	1662	2031
450	1664	2026
451	1666	2020
452	1668	2014
453	1669	2008
454	1671	2001
455	1673	1996
456	1676	1991
457	1677	1985
458	1679	1979
459	1681	1974
460	1683	1968
461	1684	1962
462	1686	1956
463	1688	1950
464	1690	1945
465	1692	1939
466	1694	1933
467	1695	1927
468	1697	1921
469	1698	1915
470	1700	1910
471	1702	1904
472	1704	1899
473	1707	1894
474	1709	1888
475	1710	1883
476	1712	1877
477	1713	1871
478	1716	1866
479	1718	1862
480	1721	1857
481	1723	1851
482	1725	1846
483	1727	1841
484	1728	1835
485	1731	1831
486	1733	1826
487	1735	1821
488	1737	1816
489	1740	1811
490	1741	1805
491	1743	1800
492	1746	1796
493	1748	1790
494	1750	1785
495	1752	1780
496	1754	1775
497	1755	1770
498	1757	1764
499	1760	1760
500	1762	1755
501	1764	1750
502	1766	1745
503	1768	1739
504	1769	1734
505	1771	1729
506	1774	1725
507	1776	1720
508	1778	1715
509	1780	1710
510	1781	1705
511	1783	1700
512	1785	1695
513	1787	1690
514	1789	1685
515	1791	1680
516	1793	1675
517	1795	1670
518	1797	1665
519	1799	1660
520	1801	1656
521	1803	1651
522	1806	1647
523	1808	1642
524	1809	1637
525	1811	1632
526	1813	1627
527	1815	1622
528	1817	1618
529	1819	1613
530	1821	1608
531	1822	1603
532	1824	1598
533	1826	1593
534	1828	1589
535	1831	1585
536	1833	1580
537	1835	1576
538	1837	1571
539	1839	1566
540	1840	1561
541	1842	1557
542	1845	1552
543	1846	1548
544	1848	1543
545	1850	1538
546	1852	1534
547	1854	1529
548	1856	1524
549	1858	1520
550	1860	1516
551	1862	1511
552	1864	1506
553	1865	1502
554	1867	1497
555	1869	1492
556	1871	1488
557	1873	1483
558	1875	1479
559	1877	1474
560	1879	1470
561	1880	1465
562	1882	1461
563	1884	1456
564	1886	1452
565	1888	1448
566	1890	1443
567	1892	1439
568	1894	1435
569	1896	1430
570	1898	1426
571	1901	1422
572	1903	1418
573	1905	1413
574	1906	1409
575	1908	1405
576	1910	1400
577	1912	1396
578	1914	1392
579	1917	1388
580	1919	1384
581	1920	1379
582	1922	1375
583	1924	1371
584	1927	1367
585	1930	1363
586	1932	1359
587	1933	1355
588	1936	1351
589	1938	1346
590	1940	1342
591	1943	1339
592	1945	1335
593	1947	1331
594	1950	1327
595	1952	1323
596	1953	1318
597	1955	1314
598	1958	1311
599	1960	1306
600	1962	1302
601	1964	1298
602	1966	1294
603	1969	1290
604	1971	1287
605	1973	1282
606	1974	1278
607	1976	1274
608	1978	1270
609	1980	1266
610	1982	1262
611	1984	1258
612	1986	1254
613	1988	1249
614	1990	1245
615	1992	1241
616	1993	1237
617	1995	1233
618	1996	1229
619	2001	1226
620	2003	1222
621	2005	1218
622	2007	1214
623	2009	1210
624	2011	1206
625	2013	1203
626	2015	1199
627	2017	1195
628	2020	1191
629	2022	1187
630	2024	1183
631	2027	1180
632	2029	1176
633	2030	1172
634	2032	1168
635	2034	1164
636	2036	1160
637	2037	1156
638	2039	1152
639	2041	1148
640	2043	1144
641	2045	1140
642	2047	1136
643	2049	1132
644	2051	1128
645	2052	1125
646	2055	1121
647	2057	1117
648	2059	1113
649	2061	1109
650	2062	1105
651	2064	1101
652	2066	1098
653	2068	1094
654	2071	1090
655	2073	1087
656	2075	1083
657	2077	1079
658	2079	1076
659	2081	1072
660	2084	1068
661	2086	1065
662	2088	1061
663	2090	1057
664	2092	1054
665	2094	1050
666	2097	1046
667	2099	1043
668	2101	1039
669	2103	1035
670	2105	1032
671	2107	1028
672	2108	1024
673	2111	1021
674	2114	1018
675	2116	1014
676	2118	1010
677	2120	1007
678	2122	1003
679	2126	1000
680	2128	997
681	2131	993
682	2132	989
683	2134	986
684	2136	982
685	2138	978
686	2140	975
687	2142	971
688	2144	968
689	2146	964
690	2148	960
691	2150	957
692	2153	953
693	2155	950
694	2157	946
695	2159	943
696	2161	939
697	2164	936
698	2167	933
699	2170	930
700	2172	926
701	2174	923
702	2177	919
703	2179	916
704	2184	913
705	2186	910
706	2189	907
707	2192	904
708	2199	902
709	2203	899
710	2205	896
711	2207	893
712	2216	892
713	2219	889
714	2222	885
715	2228	884
716	2235	882
717	2239	879
718	2242	876
719	2244	872
720	2246	869
721	2248	865
722	2251	862
723	2253	859
724	2255	855
725	2259	852
726	2261	849
727	2263	845
728	2265	842
729	2269	839
730	2271	836
731	2275	833
732	2278	829
733	2280	826
734	2282	822
735	2284	819
736	2287	816
737	2289	812
738	2291	809
739	2293	805
740	2295	802
741	2298	799
742	2299	795
743	2301	791
744	2303	788
745	2306	785
746	2309	782
747	2312	779
748	2315	775
749	2317	772
750	2320	769
751	2322	766
752	2325	762
753	2327	759
754	2329	755
755	2331	752
756	2333	749
757	2336	746
758	2339	742
759	2341	739
760	2343	735
761	2346	732
762	2351	730
763	2353	726
764	2355	723
765	2357	720
766	2359	716
767	2361	713
768	2364	710
769	2367	707
770	2369	703
771	2371	700
772	2373	696
773	2375	693
774	2378	690
775	2380	687
776	2385	684
777	2388	681
778	2391	678
779	2393	675
780	2395	671
781	2397	668
782	2399	665
783	2401	661
784	2403	658
785	2405	654
786	2408	651
787	2410	648
788	2412	645
789	2414	641
790	2415	638
791	2417	634
792	2420	631
793	2424	629
794	2426	625
795	2429	622
796	2431	619
797	2435	616
798	2437	613
799	2439	609
800	2441	606
801	2443	603
802	2445	599
803	2447	596
804	2449	593
805	2451	590
806	2453	586
807	2455	583
808	2460	580
809	2465	578
810	2468	575
811	2470	572
812	2472	568
813	2474	565
814	2476	562
815	2479	559
816	2481	555
817	2483	552
818	2485	549
819	2487	546
820	2489	542
821	2492	539
822	2494	536
823	2496	533
824	2498	530
825	2500	526
826	2502	523
827	2504	520
828	2507	517
829	2510	514
830	2512	510
831	2514	507
832	2516	504
833	2518	501
834	2522	498
835	2524	495
836	2526	491
837	2528	488
838	2530	485
839	2532	482
840	2534	479
841	2537	476
842	2538	472
843	2542	469
844	2544	466
845	2546	463
846	2549	460
847	2552	457
848	2554	454
849	2556	451
850	2558	447
851	2559	444
852	2561	441
853	2565	438
854	2568	435
855	2569	432
856	2571	429
857	2573	425
858	2575	422
859	2577	419
860	2580	416
861	2582	413
862	2583	410
863	2585	407
864	2587	403
865	2589	400
866	2591	397
867	2594	394
868	2596	391
869	2598	388
870	2600	385
871	2602	382
872	2606	379
873	2608	376
874	2610	372
875	2612	369
876	2614	366
877	2616	363
878	2618	360
879	2620	357
880	2622	354
881	2624	351
882	2626	347
883	2627	344
884	2629	341
885	2631	338
886	2634	335
887	2636	332
888	2638	329
889	2640	326
890	2642	323
891	2644	320
892	2645	317
893	2647	313
894	2650	310
895	2652	307
896	2654	304
897	2656	301
898	2658	298
899	2659	295
900	2662	292
901	2664	289
902	2666	286
903	2668	283
904	2670	280
905	2672	277
906	2673	274
907	2675	271
908	2678	268
909	2680	265
910	2681	262
911	2683	258
912	2685	255
913	2687	252
914	2689	249
915	2693	246
916	2695	243
917	2697	240
918	2698	237
919	2701	234
920	2702	231
921	2705	228
922	2708	225
923	2709	222
924	2711	219
925	2713	216
926	2715	213
927	2717	210
928	2719	207
929	2721	204
930	2723	201
931	2725	198
932	2727	195
933	2729	192
934	2731	189
935	2732	186
936	2735	183
937	2737	180
938	2740	178
939	2742	175
940	2744	172
941	2746	169
942	2748	166
943	2750	163
944	2752	160
945	2754	157
946	2756	154
947	2757	151
948	2759	148
949	2761	145
950	2764	142
951	2765	139
952	2768	136
953	2769	133
954	2771	130
955	2773	127
956	2775	124
957	2778	121
958	2780	118
959	2782	115
960	2784	112
961	2786	110
962	2788	107
963	2790	104
964	2793	101
965	2795	98
966	2797	95
967	2799	92
968	2800	89
969	2802	86
970	2804	83
971	2807	80
972	2808	77
973	2810	75
974	2812	72
975	2814	69
976	2816	66
977	2818	63
978	2820	60
979	2822	57
980	2824	54
981	2826	51
982	2828	48
983	2829	46
984	2831	43
985	2834	40
986	2836	37
987	2838	34
988	2839	31
989	2841	28
990	2843	25
991	2845	22
992	2847	20
993	2849	17
994	2851	14
995	2853	11
996	2855	8
997	2856	5
998	2858	2
999	2861	0
